user,star,sumary,country&time,kind item,image,comment
user,star,sumary,country&time,kind item,image,comment
McKool,5,"Anker USB C to C, 2.0 - Exceptional!","Reviewed in the United States on March 3, 2024",Size: 10ftColor: RedVerified Purchase,0,"I purposely purchased this brand and length for the Master Bedroom, where my wife has her iPhone and iPad. Anker is well known for exceptional quality, and this cable is a testament to that. The extra length was needed to snake from the outlet, up and around the bed, to give her the length to charge her electronics. Ahhh... Apple charging harmony!"
Vinay K,5,Great companion to the 120W charger,"Reviewed in the United States on February 22, 2024",Size: 10ftColor: BlackVerified Purchase,0,The advertised 65W PD charger of a power adapter didn't work on a recent flight to charge my MacBook. This cable along with the 120W Anker charger power adapter ( plugged into the power adapter portion of the above adapter ) pulled enough watts to charge my MacBook. A cable like this is needed along with the Anker charger. Don't buy the cheap no name ones.
Ed C,5,Well made,"Reviewed in the United States on March 12, 2024",Size: 6ft*3PackColor: BlackVerified Purchase,0,"I used one on my phone, it didn't work. Found out it was an issue with my phone. I'm going have it looked at in the near future."
P. Dugas,5,Excellent Anker Quality product,"Reviewed in the United States on February 22, 2024",Size: 10ftColor: BlackVerified Purchase,0,"I have been using Anker products for decades because they seem to make quality products that do what they are supposed to do. I use these cable with a 20Watt apple adapter for iPhones, iPads, spotlights, laptops, and every other electrical and electronic product that needs to be charged. I have never had issues with Anker."
mark,5,Works great for charging and not to bad for file transfer,"Reviewed in the United States on November 26, 2023",Size: 10ftColor: SilverVerified Purchase,0,"It's nice having a 10ft cable that's capable of 100 watts of power delivery, but it's only a USB 2.0 data transfer cable so your limited to about 480mbps data transfer speed. But for a durable cable that feels like it's good quality for about $10 your not going to get it all! Most of us these days need the higher power capability of a cable these days anyway. And if you need to transfer some files 480mbps isn't all that bad. That's 40MBps or 1GB in about 15 seconds. Which isn't bad for work files or some pictures. Now if your trying to transfer your entire phone contents that's 256GB like my galaxy S22 ultra then your going to go crazy waiting. But in that scenario your not trying to charge and your going to want a cable that can move data at the USB 3.2 rated speeds the phone is capable of, which would be a short 3ft long Thunder Bolt cable. To get fast transfer speeds the cable needs to be short and all your going to get from any computers USB port is 10 watts so all the wires needed to carry power are used for data which is fine because 10 watts is all a computer USB is going to give you anyway. So it really comes down to what you need.. data transfer get a thunderbolt cable and leave it plugged in to your PC, power delivery get a high wattage cable. Which USB 2.0 speeds are fine because it's only talking to the charger..."
Jon Campbell,5,C TO C CONNECTION,"Reviewed in the United States on March 12, 2024",Size: 10ftColor: RedVerified Purchase,0,"Had no dislikes, love the brite red it helps me find them a lot easier than black or gray"
Dunewolf,5,Works as advertised,"Reviewed in the United States on January 3, 2024",Size: 10ftColor: BlackVerified Purchase,0,"I was using some other cables prior to this and noticed the slow charge rates.. At the time I did not suspect the cable being the reason for longer charge times / slow charging rate.. but after some testing with shorter cables and some reading into how cable thickness and length plays a role in charging rates (ie speed) - I decided to order a long cable marked for higher power rating / speed - well cable has lived up to its status.
I still have the length needed to go from charger to my device while getting quick recharge times and even enough power to keep the device on while watching full length videos and still have power to charge battery. so if you need a longer range from your plug in charger - getting a cable built for the power/length is important. so getting this will help your charging speeds be higher while not having to sit so close to plug."
J.J. Malloy,5,Issa Cable,"Reviewed in the United States on March 11, 2024",Size: 10ftColor: BlackVerified Purchase,0,Needed a long USB Ccable. Got a high quality one. Is exactly what I ordered. No complaints
Susie,5,Best cords,"Reviewed in the United States on March 5, 2024",Size: 10ftColor: BlackVerified Purchase,0,I’ve tried many brands before and then I finally got around to trying Anker. Anker has the best cords around besides the fact that they are fairly priced!
Robert D,5,Gets the job done,"Reviewed in the United States on March 12, 2024",Size: 10ftColor: BlackVerified Purchase,0,The cord is sturdy and well made. Plenty long enough. Gets the job done.
user,star,sumary,country&time,kind item,image,comment
Henry B,5,Good 100W cable,"Reviewed in the United States on March 10, 2024",Size: 10ftColor: BlackVerified Purchase,0,"I bought it on sale for $9. Thick shielded cable, a bit long but I have zip ties."
Alejandro,5,"Excellent, like everything about this brand.","Reviewed in the United States on February 21, 2024",Size: 10ftColor: BlackVerified Purchase,0,"Good product. Great brand, but I had with this company when I returned a 20000 powerbank for an excessive weight (it's logical for the 20000) and they charged me 15%. Very bad for Anker, they also see Baseus in similar quality that they don't charge you if you return!!"
Futbol Loco,5,Excellent Quality,"Reviewed in the United States on March 10, 2024",Size: 10ftColor: BlackVerified Purchase,0,"Works well, have been very satisfied with the durability of these cables."
Ben,5,Long distances,"Reviewed in the United States on March 5, 2024",Size: 10ftColor: BlackVerified Purchase,0,These things disappear quicklyin my house. I have succumbed to hiding these so I can have one to charge my phone.
Patrick,5,Anker charger cable,"Reviewed in the United States on March 1, 2024",Size: 10ftColor: RedVerified Purchase,0,Anker good name brand phone cable charger. I highly recommend this cable I bought two of them. You won't be disappointed.
Chris,5,Great deal for great cables,"Reviewed in the United States on March 9, 2024",Size: 6ft*3PackColor: BlackVerified Purchase,0,The 3 pack of 6ft cables is a good deal and work just as expected.
Curlyque,5,Better than the Apple cables,"Reviewed in the United States on March 4, 2024",Size: 10ftColor: BlackVerified Purchase,0,The charging cables that came with all my Apple devices were too short and not durable. This one solved both problems!
Charles Marshall,5,You Can’t Beat Anker!,"Reviewed in the United States on February 15, 2024",Size: 10ftColor: BlackVerified Purchase,0,Anker makes some of the best third party accessories for Apple and most of the time I prefer buying their accessories over the ones that Apple has to offer. I would highly recommend this cable for anyone looking to extend the range of their laptop when charging.
Megadon3,5,Good sturdy construction,"Reviewed in the United States on March 12, 2024",Size: 10ftColor: RedVerified Purchase,0,Well constructed for durability and long life
Roger Dale Sayers,5,Well built,"Reviewed in the United States on March 5, 2024",Size: 10ftColor: BlackVerified Purchase,0,Anker makes the best cables as well as other products. You can't go wrong with Anker
user,star,sumary,country&time,kind item,image,comment
Doron,5,Excellent,"Reviewed in the United States on March 7, 2024",Size: 10ftColor: BlackVerified Purchase,0,Good cable. What I needed
Dereje,5,Fast,"Reviewed in the United States on March 10, 2024",Size: 10ftColor: BlackVerified Purchase,0,It is really fast.
Sandra stone,5,Perfect,"Reviewed in the United States on March 10, 2024",Size: 10ftColor: BlackVerified Purchase,0,Nice strong cord
R. M. Sauer,5,They work,"Reviewed in the United States on March 4, 2024",Size: 10ftColor: BlackVerified Purchase,0,We’ve been happy with anker cords
bbstx,5,"Great cable, but a little stiff","Reviewed in the United States on February 3, 2024",Size: 10ftColor: SilverVerified Purchase,0,"It does what it is supposed to do. Seems durable. The only con (and it isn’t big enough to knock off a star) is that the cable is pretty stiff, much more so than the braided DeWalt 10’ cable I have for my phone. Consequently, it is difficult to roll into a small loop for storage or travel."
Francisco Javier Suarez Benite,5,Excelente,"Reviewed in the United States on March 8, 2024",Size: 10ftColor: BlackVerified Purchase,0,Excelente
Amazon Customer,5,Perfect!!,"Reviewed in the United States on February 19, 2024",Size: 10ftColor: BlackVerified Purchase,0,Exactly what I was needing. Super fast charging and is 10ft like it claims. (Most cords aren’t). I’m very pleased with this purchase!!
christine,5,fastest charging,"Reviewed in the United States on February 26, 2024",Size: 10ftColor: BlackVerified Purchase,0,Good quality and the most important thing is fast charging time
Kirsti Ingram,5,Fast Charging!,"Reviewed in the United States on February 25, 2024",Size: 10ftColor: BlackVerified Purchase,0,I love Anker! I've been using this brand for years and it's always great quality
Willie's Profile,5,Great product,"Reviewed in the United States on February 23, 2024",Size: 10ftColor: BlackVerified Purchase,0,My sone uses his iPad a lot and the other cables were always to short and this fits his needs perfectly.
user,star,sumary,country&time,kind item,image,comment
Jim Moriarty,5,Looking for that Long USB-C Cord?,"Reviewed in the United States on February 6, 2024",Size: 10ftColor: BlackVerified Purchase,0,The best feature IMO is the length. I use these at home in my bedrrom to reach those plugs for my iPad & iPhone. Great for reading in bed. I also travel with them as often there are inadequate number of plugs even in those designed for business travelers.
Luis Esteban Rodríguez Alba,5,Very good product,"Reviewed in the United States on February 23, 2024",Size: 10ftColor: BlackVerified Purchase,0,It worked perfectly for me with the iPhone and MacBook Pro and it's super long!
Ronald,5,Best charging cord I’ve tried.,"Reviewed in the United States on February 22, 2024",Size: 10ftColor: BlackVerified Purchase,0,"As in a lot of cases, Anker makes a quality product. Works great."
Antoney Bullock,5,Very nice,"Reviewed in the United States on February 29, 2024",Size: 10ftColor: BlackVerified Purchase,1,Very long nice color works very well
Amazon Customer,5,Confirmed fast charging,"Reviewed in the United States on February 9, 2024",Size: 3ft+6ft+10ftColor: BlackVerified Purchase,0,"I confirm fast charging for this Anker cable. I previously bought a ""fast charging"" no brand USB-C cable and it maxed out at 55W from Apple's 140W MacBook charger.

This Anker cable sends 95W from that charger."
Robert Fields,5,Works,"Reviewed in the United States on March 2, 2024",Size: 10ftColor: BlackVerified Purchase,0,It works and that is about it
robert l,5,Perfect for my IPAD,"Reviewed in the United States on February 20, 2024",Size: 10ftColor: RedVerified Purchase,0,Not to worry… Better than the majority of other high priced cables being sold…Strong!
Ken,5,Quality and Value,"Reviewed in the United States on February 29, 2024",Size: 10ftColor: BlackVerified Purchase,0,Works as advertised
Frank,5,Fast Charging,"Reviewed in the United States on February 23, 2024",Size: 10ftColor: RedVerified Purchase,0,Used with the Anker adapter it charges my phone from almost 0 to 100% in about an hour.
RecurveShooter,5,New longer chord,"Reviewed in the United States on February 18, 2024",Size: 10ftColor: RedVerified Purchase,0,Like the length and it's a little heavier or bigger diameter. Kind of what I was hoping for. Would buy again.
user,star,sumary,country&time,kind item,image,comment
Sylwia,5,Good product,"Reviewed in the United States on February 29, 2024",Size: 10ftColor: BlackVerified Purchase,0,Poetic cable
Joseph Boone,5,Great,"Reviewed in the United States on February 22, 2024",Size: 10ftColor: BlackVerified Purchase,0,Awesome cable.
Scott Forbes,5,Exactly what you need for the future cords,"Reviewed in the United States on January 19, 2024",Size: 10ftColor: BlackVerified Purchase,0,"This is a C to C cord. Wanted an extra cord for my laptop which uses C and the adapter is a C. Plus the nice sturdy design with nylon makes me confident that this will last a long time. Plus the length is nice if your power supply or outlet is far.
Some color would have been nice but it’s different color than my other nylon cords so it’s easy to spot fortunately."
Brayden,5,Works great with the Anker 100W GaN Prime charger.,"Reviewed in the United States on February 21, 2024",Size: 10ftColor: BlackVerified Purchase,0,Seems to be sturdy enough to carry 100W to my laptop.
watcher,5,Great Quality,"Reviewed in the United States on February 10, 2024",Size: 10ftColor: RedVerified Purchase,0,"Looks great, works great, excellent quality. Red not only matches my charger, it stands out so I won't forget it somewhere."
Ash,5,Best charger that you can buy,"Reviewed in the United States on January 24, 2024",Size: 10ftColor: BlackVerified Purchase,0,"I've used to many other chargers in the past, but this one has amazed me. When pared with an Anker AC adapter (charger box), it'll charger your phone in less than an hour. Compared to other types of chargers, this is the best of the best one that you can get without spending a ton of money. 100/10 would buy again"
Dale Fravel,5,Good options,"Reviewed in the United States on February 21, 2024",Size: 3ft+6ft+10ftColor: BlackVerified Purchase,0,Great set of USB-C cords. I love the variety of length this pack offers.
geodan06,5,Longer cable works for me,"Reviewed in the United States on January 29, 2024",Size: 10ftColor: SilverVerified Purchase,0,Needed a longer charging cable to be able to go from the outlet to my side dresser where my phone sits overnight. It suits my need. Seems sturdy enough and works with the Anker fast charging block purchased on the same order.
Arthur,5,Anker makes the best charging cables,"Reviewed in the United States on February 17, 2024",Size: 10ftColor: SilverVerified Purchase,0,Have multiple and they’ve lasted me 5+ years.
Nick Major,5,Excellent Power cord,"Reviewed in the United States on February 20, 2024",Size: 10ftColor: BlackVerified Purchase,0,"Love the long Anker cord, beats the short apple cords."
user,star,sumary,country&time,kind item,image,comment
D. Campbell,5,Top Quality,"Reviewed in the United States on February 13, 2024",Size: 10ftColor: BlackVerified Purchase,0,I am very pleased with this cable. It appears to be very durable and excellent quality. Great value for the money.
John,5,I like the length,"Reviewed in the United States on February 12, 2024",Size: 10ftColor: BlackVerified Purchase,0,the 10ft length is really nice and it still manages to fast charge my phone and other devices.
Robert Prince,5,Quality Product,"Reviewed in the United States on February 19, 2024",Size: 10ftColor: BlackVerified Purchase,0,Good quality and great buy. Works as advertised.
Mary,5,Worth it,"Reviewed in the United States on February 7, 2024",Size: 10ftColor: BlackVerified Purchase,0,"This is way longer than I need, but it's so worth it for finagling around certain charging situations."
boldgamer02,5,Used for my PS5 controller,"Reviewed in the United States on February 7, 2024",Size: 10ftColor: BlackVerified Purchase,0,I use this to keep my PS5 controller plugged in at all times since the battery is not that great. Works perfectly.
Q,5,It came on time,"Reviewed in the United States on February 14, 2024",Size: 10ftColor: BlackVerified Purchase,0,There's nothing to dislike about. The product works great for me.
CoolManPlayzMc,5,Pretty good,"Reviewed in the United States on February 10, 2024",Size: 10ftColor: BlackVerified Purchase,0,"I've been using this product to charge my Quest 2 as I play, and it works perfectly for that. Good cable."
Don S,5,Excellent usb c to usb c cable.,"Reviewed in the United States on February 21, 2024",Size: 10ftColor: BlackVerified Purchase,0,Works great to charge my ipad.
Kindle Customer,5,Long enough and strong enough,"Reviewed in the United States on February 19, 2024",Size: 10ftColor: BlackVerified Purchase,0,Anker is usually a dependable brand
peterros715,5,It's a fine cable,"Reviewed in the United States on February 26, 2024",Size: 10ftColor: BlackVerified Purchase,0,Nicely made. Works fine.
user,star,sumary,country&time,kind item,image,comment
Amazon Customer,5,Cord,"Reviewed in the United States on February 8, 2024",Size: 10ftColor: BlackVerified Purchase,0,Great
Aiden,5,"Feels very quality, and works for my 65W laptop.","Reviewed in the United States on January 27, 2024",Size: 10ftColor: BlackVerified Purchase,0,Does everything you expect it to. Data/Power. Feels nice in my hands.
Gian,5,sturdy,"Reviewed in the United States on January 31, 2024",Size: 10ftColor: BlackVerified Purchase,0,"After a few weeks of use, I think the cable is very resistant"
Glenn@Memphis,5,Durable and well made but…,"Reviewed in the United States on January 12, 2024",Size: 10ftColor: BlackVerified Purchase,0,Durable and well made but invest in a high output charger to pare with this charging cable. If used with lower output chargers it may not charge well. G@Tn.
Kip,5,Well built,"Reviewed in the United States on January 28, 2024",Size: 3ft+6ft+10ftColor: BlackVerified Purchase,0,The cords seem very sturdy
OrangeCAT,5,These cables are well constructed.,"Reviewed in the United States on January 23, 2024",Size: 6ft*3PackColor: BlackVerified Purchase,0,"I was mistaken about my review, these cables are well constructed. My previous review was inaccurate."
The A,5,You can't go wrong with Anker products,"Reviewed in the United States on December 30, 2023",Size: 10ftColor: SilverVerified Purchase,0,"I needed a longer USB-C to USB-C cable with enough charging rating for my Dell laptop (65W). This is my third Anker cable and they never disappoint. The quality of the braiding is great. The cable feels sturdy and is surprisingly 'heavy', which I contribute to the higher power rating. Still, super flexible. Good choice overall."
snyder11,5,Perfect,"Reviewed in the United States on February 3, 2024",Size: 10ftColor: BlackVerified Purchase,0,Perfect length and speed for my legion go.
Matt Crawford,5,Fast charging,"Reviewed in the United States on January 17, 2024",Size: 10ftColor: BlackVerified Purchase,0,"This USB C phone charger from Anker exceeded my expectations with its fast charging capabilities. I’ve had good experiences with Anker products I’ve purchased in the past, and this charger is another solid buy."
Dave,5,Heavy duty,"Reviewed in the United States on February 9, 2024",Size: 10ftColor: BlackVerified Purchase,0,These cords are the nicest I’ve used.
user,star,sumary,country&time,kind item,image,comment
Jeremy Fouse,5,Anker is where it’s at!,"Reviewed in the United States on December 24, 2023",Size: 10ftColor: BlackVerified Purchase,0,"I started with Anker buying their little 20w power block the size of the Apple 5w block. It worked great and after many months, I needed a new cable since my factory cable started to fray. I went back to Anker and bought some charging cables. They work just as great as their 20w block. Definitely like the Anker products. Good power, good quality and really, a good price."
LyddieMarie,5,Perfect iPad cable,"Reviewed in the United States on January 26, 2024",Size: 10ftColor: BlackVerified Purchase,0,"Would definitely purchase again, it’s sturdy and perfect length for when I use my iPad on the bed or couch away from a plug-in"
GamePlayer,5,long Lightning cable. Work fine.,"Reviewed in the United States on December 25, 2023",Size: 10ftColor: BlackVerified Purchase,0,"Just do not bend them at the ends and treat the ends with care. Like all lightnign cables, they seem to break or stop working if the ends are ""flexed"" or twisted to any degree. Also, you need to take care not to pull the cord out or insert it into your device by any means other than a firm grasp on the hard plastic piece right next to the connector."
Thomas Phillips,5,We needed chargers..,"Reviewed in the United States on January 7, 2024",Size: 10ftColor: BlackVerified Purchase,0,"We needed chargers around the house because just like the sock gnome that steals socks out of the dryer, we have one that steals charging cables.

Bought two, one for myself and one for my wife. Wife now owns both. 10/10 would not be able to use this item again."
Christopher c.,5,Anker products are absolutely phenomenal,"Reviewed in the United States on January 22, 2024",Size: 10ftColor: BlackVerified Purchase,0,"Anker products are great. I have been using their cables and charge blocks for the last five or six years, and have never been disappointed with anything from this brand."
Max,5,Anker 10 ft. 100w cable,"Reviewed in the United States on February 10, 2024",Size: 10ftColor: BlackVerified Purchase,0,Great cable. It does do fast charging.
mama_wolfe,5,"So far, it's a keeper","Reviewed in the United States on February 4, 2024",Size: 10ftColor: BlackVerified Purchase,0,Love that I have some room to roam with this cable.
Jon.,5,I trust Anker cables,"Reviewed in the United States on January 11, 2024",Size: 10ftColor: BlackVerified Purchase,0,"I'm starting to find myself looking for the Anker name when looking for reliable cables and battery packs. They have not let me down yet and I would recommend them to anyone looking for good quality cables. When the Immersed site recommended them for my Oculus, I was not surprised at all."
Cagolfgirl,5,Replaced my computer's charging cable,"Reviewed in the United States on January 27, 2024",Size: 10ftColor: BlackVerified Purchase,0,The standard cable connecting my computer to the power plug was far too short. This 10' cable is working great so far and long enough for my needs.
shaul meor jai,5,Very good,"Reviewed in the United States on February 11, 2024",Size: 10ftColor: BlackVerified Purchase,0,"Excellent, comfortable. Does the job,"
user,star,sumary,country&time,kind item,image,comment
sinica,5,Great Cord,"Reviewed in the United States on January 29, 2024",Size: 10ftColor: BlackVerified Purchase,0,"Solid product, works great."
BT Rocks,5,Great Iphone Charging Cable,"Reviewed in the United States on February 10, 2024",Size: 10ftColor: RedVerified Purchase,0,"Great cable, promptly shipped, THANKS!"
John,5,Powerful and sturdy,"Reviewed in the United States on January 12, 2024",Size: 6ft*3PackColor: BlackVerified Purchase,0,It is braided and really powerful with 100 watts of power transfer. It comes with a velcro strap that gives you the ability to keep it compact without rubber bands.
T,5,Charges super fast,"Reviewed in the United States on January 10, 2024",Size: 10ftColor: BlackVerified Purchase,0,These charge iPad so fast I had to buy more for other rooms in the house. Highly recommend if you are wanting a fast charge for your iPhone or iPad.
Swimhead,5,Excellent Cable,"Reviewed in the United States on January 18, 2024",Size: 10ftColor: BlackVerified Purchase,0,Quality and function are all there. I particularly like the length of the cable which allows me more flexibility while using it.
Chris,5,The long cable that works with iPhone,"Reviewed in the United States on January 15, 2024",Size: 10ftColor: SilverVerified Purchase,0,It works without getting an error message on the iPhone. Use with 5v 20W and 30W USB-C wall charger for best performance.
Timothy Frantz,5,Anker is the way to go!,"Reviewed in the United States on February 13, 2024",Size: 10ftColor: BlackVerified Purchase,0,Flexible and long length.
JM,5,USBC charging cable.,"Reviewed in the United States on February 7, 2024",Size: 10ftColor: BlackVerified Purchase,0,"Durable, nice length, works as advertised."
Steven K.,5,Great product,"Reviewed in the United States on February 9, 2024",Size: 10ftColor: BlackVerified Purchase,0,Super fast shipping
MARCUS HANIMAN,5,Looks rugged,"Reviewed in the United States on January 18, 2024",Size: 10ftColor: BlackVerified Purchase,0,Looks good I hope it lives up to the sales pitch which got me to choose it
user,star,sumary,country&time,kind item,image,comment
