user,star,sumary,country&time,kind item,image,comment
Vladimir,5,Thank you,"Reviewed in the United States on March 5, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,Fast delivery. Everything is fine
Sebastián O.,5,Very good purchase option,"Reviewed in the United States on February 3, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,The headphones are very comfortable and for the price they offer great audio and microphone quality.
KEYLER MARULANDA PABON,5,10/10,"Reviewed in the United States on February 6, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,"excellent product, meets expectations, very happy."
Joseph Martinez,5,Great Sound and Modular,"Reviewed in the United States on February 2, 2024",Color: BlackStyle: Nova 3Verified Purchase,1,Love the company put effort and quality into their headsets
Shelby d,5,My son is picky and loved these,"Reviewed in the United States on January 15, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,Have a house full of gamers. Two sons bought some at same time. These were by far the more coveted of the ones bought. There have been no complaints! Strongly recommend.
Gerri Labossiere,5,Great Headset,"Reviewed in the United States on January 26, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,"Got these for my son, he's very happy with them. Uses them everyday."
A. Saltoon,5,Excellent,"Reviewed in the United States on January 31, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,Excellent
joseph,5,Fits big ears,"Reviewed in the United States on December 26, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"I have weird pointy triangular ears like elephants, but I was able to wear these without a problem. Very comfortable too. It doesn’t provide sufficient noise cancelling, so don’t buys these with those kinds of expectations. I don't really care about noise cancelling, so these work perfectly for me"
Jake,5,Better than $250+ options from other brands,"Reviewed in the United States on October 9, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"After buying 4 other $100-$280 headsets from big ""gaming"" brands this one is by far the best. Sound is very well tuned for most games without any EQ needed. However the SteelSeries GG Sonar software is by FAR the best I have used for peripherals. Only downside is they do advertise their other products on it, but id rather have that over the bugs and glitches that plague other companies software. As far as the mic goes its not the best I have heard on a headset but for the price no complaints. However you are able to make it sound pretty good using the included mic EQ setting in Sonar."
CeejayPanduh,5,The new era of steelseries,"Reviewed in the United States on September 6, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"Upgraded from my primes to these thinking it was gonna be a downgrade but WOW what a switch up! The configurable EQ on this is really good, i have IEM quality sound in a gaming headset. Its really light with a completely improved design so i know it wont end up snapping from regular use like the primes did, comfort is about the same but thats ok since steelseries headsets are all top tier comfort. The wire is prolly my favorite improvement next to the AI noise cancelling mic it has, no more stupid knob on my desk and i can finally fine tune my voice without any professional setup. Extreme quality and options for gamers here.

Rating: 11/10 a new era begins here"
justus,5,Buying again in future,"Reviewed in the United States on October 16, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"First things fist, I'm a simple man okay. Anyways, these are some comfy *butt* headphones. Using the elastic head band is much easier than sliding the ear cups to the right place, just to have them eventually need to be adjusted over and over again. Next on the list are the ear cushions, they are idk how to say it...""THEY'RE SO FLUFFY!"" They feel like pillows. And finally the cherry on top, the mic is easy to adjust and stays in place. Things I don't like about it, the wired headset part.

That's it."
James Festa,5,Great quality,"Reviewed in the United States on January 11, 2024",Color: BlackStyle: Nova 3Verified Purchase,0,Good price and a good product
Austin,5,Best bang for your buck,"Reviewed in the United States on October 7, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,"I've bought 3 pairs of the Arctis 5, one for me and a pair for each of my two brothers as a present. I recently upgraded to a pair of Artics Nova Pro Wireless and it solidified how awesome these are for the price (especially when you can get them on sale). The sound quality is awesome and the mic quality is probably as good as some stand-alone streaming microphones if you tune it well in Steel Series GG.

All in all, if you're looking for a solid gaming headset you really can't beat this for the price."
Marine,5,LOVE IT!,"Reviewed in the United States on November 15, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,From all thr headsets I've use for gaming these are ny far the best I've ever bought. Mic is crisp and clear. Volume is absolutely amazing. It comes with so many different cables for different uses. It fits beautifully and doesnr hurt mu ears at all. I've definitely become a fan of steelseries and would recommend it to any Gamer out there! Run dont walk and buy this product NOW you won't regret it one bit.
Bob,5,SteelSeries New Arctis Nova 3 Multi-Platform Gaming Headset,"Reviewed in the United States on December 7, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,Just what I was looking for. Some headphones are hard to wear because they start hurting my ears. But these from Steelseries are the best so far. Not too expensive but has features that I always looked for.
Chase Wilkinson,5,"Quality, Comfort and Looks","Reviewed in the United States on June 9, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,"Exactly what I wanted!
Can't express how pleased I am with my new headset. I was using the Arctis 7 for the past 6 years and tried to upgrade to the wired pro, which was nice but right out of the box the mute button was oversized, not supported correctly, making it stick and not work. I tried the Logitech G Pro, but didn't like the feel of them. Then I found the Arctis 5 wired, which has all of the same quality, sound and performance of the Arctis 7 ""including the mute button"". The enhanced features are the light weight comfort of the headset and the Game/Chat dial is at my finger tips instead of on the back of the head set. I also love the added lit illuminating feature on the headset, it pairs perfect with my illuminated Razor mouse and keyboard. Very happy with this purchase"
Carlito Lopez,5,Good headset for the price,"Reviewed in the United States on December 7, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,I got the headset for a friend who has tmj pain from wearing headsets like I did but these ones have pivot on the earcups like my astro a50s to keep the pressure off the jaw
Manuel Carballo,5,Nice product for young kids,"Reviewed in the United States on December 27, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,Works good for my 9 year old boy. PS4. can connect via usb.
NopeNope,5,Honestly tArctis' best headset.,"Reviewed in the United States on May 13, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,"I've had this headset for 4-5 years and just bought another to replace it once it wears out completely.

I've also tried many of Arctis' other headsets, including the newer ones and none of them fit like this one does. I have a big head and all the newer versions of their headsets are too small, or put pressure in the wrong spots on my head, or the ear cuffs are too small and don't fit my ears.

I'm going to be real sad once all the Arctis 5's are gone, because they haven't made anything that measures up to it in terms of comfort since. I've tried Logitech's that has the similar headband style and I might have kept it, but the sound was garbage in comparison.

I just keep going back to my worn out Arctis 5 because it's still better than any new headset I can find right now."
Julian Johnson,5,Quality,"Reviewed in the United States on October 25, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,Bought on sale and not disappointed. Use it to play games in house before my five kids are up. Sound quality is great on it and I like how the mic is retractable so you can use it when needed instead of it always being there or unplugging mic and losing it.
Alexandra W,5,3 Cheers for SteelSeries,"Reviewed in the United States on March 31, 2022",Color: WhiteStyle: Arctis 5Verified Purchase,0,"This gaming headset is everything for me! I use it exclusively for PC gaming and love the dial that lets me change sound focus from browser/game to voice chat. It's really helpful during gaming moments where I don't have time to manually go into the game settings and lower the sound so I can hear instructions or callouts for fights in Final Fantasy XIV.

I also have a Elgato Wave 3 mic and I can still use the game/chat dial with the Elgato Wave Deck program, it just takes a little fiddling with. Ease of use is so great though!

The sound quality is not too bad, the only place I've noticed any dip in quality is with music. It still sounds good, but not quite as good as a Razer headset. The functionality of this headset supercedes that one teeny flaw for me.

Noise cancellation is pretty good too! There are dogs that live in the home that constantly bark when their owners are away, for hours at a time, and these headphones are the one thing saving my sanity from the incessantly borking doggos.

They wear so easily and are comfortable on my head. The velcro band at the top can be adjusted to fit probably any size head.

If you're even considering getting this headset, just do it. Please, just do it. Thank me later!"
kristal lopez,5,Good quality,"Reviewed in the United States on December 4, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"These headphones work so well with the ps4. Audio is loud and clear, and I play a lot of FPS games. Audio is a must while playing FPS."
Brian Johnson,5,Great sound quality,"Reviewed in the United States on October 9, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"The volume is easily adjustable, the mic quality is fantastic on console, on pc it’s much better. If you like wired over Bluetooth it’s an amazing headset, the wire doesn’t really get in the way but I ran into the issue that the aux adapter sounds terrible(mic) on ps5 but the usbc works well."
Sydney Hite,5,Grandson is happy,"Reviewed in the United States on November 19, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,Bought these for grandson as a gift. He knew what’s he was getting as he told me exactly what & where. He is very happy with them
Amazon Customer,5,Most comfortable headphones I’ve used,"Reviewed in the United States on August 4, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"Ive been hunting for the most comfortable headphones, and I think I’ve found them. I’m on my computer a lot for work and am prone to headaches, so the weight and suspension band are perfect combo for me for long wear use. These are some of the lightest headphones I’ve seen on the market. The sound quality is great, if not a tad quiet, and the built in microphone is pretty solid compared with my Yeti snowball. For the price, I’m not sure I could find a better product."
Tyler Moore,5,Great multi-platform headset,"Reviewed in the United States on July 10, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"I bought this since my old steelseries mic started making a static noise in the game. This time I went with wired since I didn’t like having to charge the old one. Sound quality is great happy it comes with different cables. I use the usb c to 3.5 cable on my switch and usb c to usb c on my PS5. RGB is cool if your into it, I don’t think you can control the colors with consoles only pc so it’s default is rainbow color cycle. Overall happy and it was an Amazon deal price so saved 20 bucks."
Camilo,5,Excellent product,"Reviewed in the United States on October 17, 2023",Color: BlackStyle: Nova 3Verified Purchase,1,"They arrived earlier than expected and it was definitely worth it, they have a good microphone and their sound is good, aesthetically they are very nice and they have very interesting software with very different options. For the time being, I am very satisfied."
ashlynne ladd,5,Well worth the money,"Reviewed in the United States on July 27, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,The sound quality is amazing. I use the headset for gaming. When I play with my brother's they say that they could hear me clear and that I didn't echo when I would talk to them. When I play by myself I like to listen to music and the music sounds really good. It has a some bass in it when your listening to music. But If I had to rate this 1 out of 10 I would give it 9.8.
Chris,5,My Favorite,"Reviewed in the United States on September 26, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,I have been using this for over 3 years and can’t emphasize how nice of a microphone this is. Great sound quality and adjustability. Super comfortable and perfect weight. This is the standard in my opinion. I will be coming back to purchase a new model when needed. 5 stars.
Alex,5,Gets the job done,"Reviewed in the United States on December 12, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,Nothing crazy but good enough
Sheila,5,Husband loves it,"Reviewed in the United States on October 14, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,He went from a razer game headset to this. He immediately asked his friends if he sounded different and the answer is yes. They said he sounded better. It's definitely an upgrade from the razer for sure.
Corey B,5,Easy to use and good quality,"Reviewed in the United States on August 25, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"The headphones I used previously for my PS4 were the PS Gold. They had good sprouts sound for PS4, but keeping the battery charged and using one of the USB slots was a hassle.

These Steel Seroes seem to be very good quality materials and sound. I like the wired feature because I never have to wonder if my headphone battery will make it through a session."
Eduardo Diaz,5,"Great Audio, Super Comfortable!","Reviewed in the United States on June 30, 2019",Color: BlackStyle: Arctis 5Verified Purchase,0,"These is, by far, the best headset I have ever gotten. The audio quality is amazing, and they are very comfortable to wear. After purchasing a horribly tinny and uncomfortable Logitech Headset that used the same surround sound tech as this one, I was expecting to be met with the same issues that caused me to return those. To my pleasant surprise, the audio quality on these things are amazing. The ear cups have nice acoustics, allowing for the audio from the speakers to be delivered to your ears with complete clarity while blocking out noise. And while talking about the ear cups, I'd like to mention how pleasant they are to wear. They create a nice barrier from the outside while still being breathable and soft. They don't create an air tight seal which sucks on your ears like leather cups, and they don't feel cheap or itchy like most cloth cups I've had the displeasure of wearing. The head band adapts nicely to the size of my head without needing to fumble with extensions or straps. It rests on your head snuggly, so you can look around without worry, but no so tight that it causes any sort of discomfort.

As important as comfort is, the main concern regarding all headsets is audio and audio quality. You won't be disappointed with these! Just out of the box, they deliver amazing audio quality across the spectrum, and by enabling surround sound in Steelseries' software, you get clear and immersive surround sound which delivers concise positional audio. The microphone also delivers great clarity, with the audio quality coming close to most consumer end dedicated mics.

I definitely recommend this headset for anyone looking to game or chat. They look nice, sound great, and feel good. I'd go as far as to say that they're a steal at $99.99."
Tiffany,5,Amazing headset!,"Reviewed in the United States on February 21, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,"I bought this for my brother who is extremely picky about his headsets. I've had to return two sets of headsets because of it. It took me months to find him the right headset. He wanted a headset that had a quality mic or audio with incoming quality sound on the headphones as well. This type of headset is not so easy to find when it's a USB cord. USB cords aren't known for the best audio or sound quality. This is the best headset I've found. He hasn't complained at all about it. He's only had good things to say about the headset. If you're looking for an inexpensive headset, with high-quality features, and a USB cord then this is definitely the best headset you can buy hands down."
Brandon,5,Little brother loves it.,"Reviewed in the United States on November 24, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,Little brother loves it so it gets a 5 star.
nobody,5,"Super comfortable, great sound quality, relatively easy to set up.","Reviewed in the United States on October 22, 2021",Color: WhiteStyle: Arctis 5Verified Purchase,0,"I'm so glad I decided to just shell out the extra money for a good headset. Steelseries engine has preset equalizers. one is Flat, one is Voice, they sound like shit, as expected. but man, when you set the equalizer to Music? shiiiiiiiiiiit. these things sound incredible when you have some spotify blasting. just out of the box they sound good. but downloading the engine and trying different presets is nice.

they're also super comfortable. the velcro makes it weird trying to find the right fit but it only takes 2 minutes of fidgeting around to find it. if that. the earpads are crazy soft and squishy, they feel great. I wear glasses too. no problem. they might feel weird at first, you just have to find the right fit with the velcro. they sit on your head and around your ears so seamlessly.

the mic is basically what you would expect from a headset. it doesn't sound incredible but it's good for what you pay for. it's better than most i've heard.

has a volume scroll wheel on the left ear to raise or lower your volume. very nice.

its great, buy it."
Darya,5,Love it so much. Perfect for any gaming platform.,"Reviewed in the United States on March 12, 2023",Color: WhiteStyle: Arctis 5Verified Purchase,0,"I’ve had this headset for around 2 years now and it’s still going strong. Outlasted every other headset that I’ve ever had. This headset has good sound and microphone quality. I would recommend this headset even if you have a console like me, just plug it into the usb port in the back of your console and you’re good to go. However, if you have a console, the game/party audio scroll wheel doesn’t really work for anything other than lowering down the volume of the headset, which is why I don’t use it, I think this is more of a pc feature. But overall this headset is great and looks very aesthetically pleasing as well."
Caio G.,5,Amazing!,"Reviewed in the United States on June 5, 2020",Color: BlackStyle: Arctis 5Verified Purchase,0,"I previously had a cheap headset for gaming/music that I kind of used universally. It worked fine and I got out of it what you would expect out of a cheaper headset. I decided to upgraded to the Arctis 5 for better quality in both gaming and music and I have not been disappointed. They are so amazingly comfortable, and easily capable of being used for long periods of time without hurting your head or ears. The ear cups are very cushioned and the head band feels like the band of ski goggles. As far as fit goes, they're amazing.

The sound quality is very good. I was impressed at how good it actually was. I'm no audiophile, but these sound amazing. If you download the steelseries engine software, you can customize preset profiles for gaming (and even for specific games) and music, where you can adjust the equalizer to personalize your sound. That same software is where you can control/personalize the RGB, which is purely aesthetic, but still looks cool. I've got different settings for music and gaming and there is a notable difference between the two.

I would definitely recommend this headset to anyone that is looking to upgrade. I'm sure there are discrepancies for audiophiles but if you're looking for an upgrade to a good headset, this is a really good choice."
Jason Saar,5,Girlfriend loved them,"Reviewed in the United States on September 26, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"I bought these as a gift for my girlfriend, and the sound quality is much better with these compared to another brand that cost twice as much. Highly recommend Steelseries, and these are a great value."
Forest M.,5,Great head set!,"Reviewed in the United States on October 23, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"Amazing headset, plug and play comes with all the cables you need. Is a little tight on the head but still comfortable."
NR,5,Nice Gaming Headset,"Reviewed in the United States on November 11, 2022",Color: BlackStyle: Arctis 5Verified Purchase,0,"I needed a replacement for my old, worn out headphones and this gaming headset seemed to check all the boxes in what I was looking for. It's very comfortable and lightweight and I love the ear pad cushioning. It's plug and play, so the software isn't necessary, however, you'll need it if you want to tweak around with the RBG lighting and other configurations. The mic quality is clear and I like that it's retractable for the times I don't need to use it. The only thing that I've noticed and agree with the other reviews is that the sound is not as loud as I would have expected, but it's not that big of a deal. Overall, it's a great gaming headset and worth the purchase."
scradam,5,"Really comfortable for all day wear. Also functions as earmuffs for hearing protection, I guess.","Reviewed in the United States on January 9, 2021",Color: WhiteStyle: Arctis 5Verified Purchase,0,"I bought a pair of these for both my wife and I about 8 months ago. We both love them. We use them for music, gaming, Discord, and work team Skype/Zoom meetings every single day. They are extremely comfortable for all-day wear, and the ear pads won't break down easily, even after months of wear. After working from home and wearing these every day for great lengths of time, they still feel like new. Very very high quality.

My only problem with them is that they basically act as shooting range earmuffs as well. I can barely make out anything my wife is telling me from ~7 feet away with these things on. On the upside, the volume being pumped through the headphones can be kept rather low and your ears can be preserved because everything else becomes so silent by comparison. If you live/work/play somewhere you want to block out noise without true noise cancellation, I suppose these are pretty good. If you want to hear what your family is saying while you have these things on, it could be a small problem."
Mohammad F.,5,"Modern, Comfy, Incredible sound","Reviewed in the United States on March 15, 2023",Color: BlackStyle: Arctis 5Verified Purchase,1,"Headset looks and feels great. Love the retractable mic and simple controls. I also love how the mic glows red when you activate mute. After a few youtube videos looking for optimal settings and adjustments and software downloads I was able to hear footsteps from opponents in Valorant even when teammates were clueless. A real game changer and very comfortable. For this price I consider it a steal. Only complaint I have is the fragile feeling and looking wire which I was able to manage correctly, however I wish it had a little more premium feel to it. The added knob for control is a great plus and looks good mounted onto my desk."
Chef Addin,5,Nice sound quality and comfortable,"Reviewed in the United States on September 26, 2023",Color: BlackStyle: Nova 3Verified Purchase,1,I'm surprised the package is so nice and get stickers. The headset so light and comfortable to wear. The sound quality also very nice with a good balance.
Juan Pablo Tabimba,5,Very good product and very good quality,"Reviewed in the United States on October 18, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,"I like its sound, it's clear and loud for total immersion in the game."
Andi,5,Like Magic,"Reviewed in the United States on June 12, 2020",Color: BlackStyle: Arctis 5Verified Purchase,0,"I have never had such a good pair of headphones. The sound quality is crystal clear. I'm hearing sound effects I never knew were in my games. They have amazing 360 degree sounds so you can hear sound from all directions in a game, especially the location of enemy footsteps.

The sound quality is so good that it rivals a studio headset for listening to music. Sounds are vivid and not compressed.

The noise cancelation is so good that I can't hear a single sound, not even my own voice. A plane could probably crash in my kitchen and I wouldn't hear it. The setting that plays your voice back for you through the headphones is required if you're talking to anyone, as you can't hear yourself.

The microphone is amazing. The adjustable distance lets you set it to the perfect range. My friends have no issue hearing me and it sounds like I'm in the same room as them. I especially like the red light on top that lets me know that I'm muted.

The wires are a little too long for my liking. It takes some weaving it around behind my pc to get it to a reasonable length, but it's okay.

Overall, these are amazing."
Riley S.,5,Awesome for A While...,"Reviewed in the United States on May 21, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,"Sorry for the lack of photos, this is just a quick recap of what I personally believe about this product however after receiving this as a birthday present almost 3 years ago now, I still think this headset is really amazing with great sound quality! I do wish to upgrade to wireless due to constantly having to move cables around and as a console gamer who games away from the screen, the wired nature of this headset limits my mobility."
Arieh Brautigam,5,Great headset,"Reviewed in the United States on July 3, 2023",Color: BlackStyle: Arctis 5Verified Purchase,0,"Steel series fails to disappoint with headsets. They're very lightweight, comfortable on the ears/head. Sound quality is exquisite with dials on the side to lower or louden the volume. Just overall a solid choice for a headset. Currently have the Arctis 7s but these lasted me a while. They still work and will be used as a backup god forbidding this one dies"
Amazon Customer,5,Get Before Sale Runs Out,"Reviewed in the United States on October 3, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,These headphones have great quality and they have a really nice software. I really recommend them they are also really comfy.
Nikota Amason,5,Great suround sound,"Reviewed in the United States on September 29, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,They work great for the price. The sound isnt as high quality as id like it to be but it makes up for it with everything else.
Jose Roman,5,Super comfortable,"Reviewed in the United States on July 12, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,It's probably the best headset I've gotten in quite a while it just feels extremely comfortable while offering great quality sound for music surprisingly and of course for gaming. Very crisp audible tones and great quality product doesn't feel cheap what soever feels very premium. Stay tuned for Mic testing.
Mikey,5,Awesome,"Reviewed in the United States on October 5, 2023",Color: BlackStyle: Nova 3Verified Purchase,0,Much better than my previous headsets. I find them comfortable for long sessions. It comes with multiple different cords which is great.
